bill_id,title,status,sponsors
1,Lower Energy Costs Act,"The Clerk was authorized to correct section numbers, punctuation, and cross references, and to make other necessary technical and conforming corrections in the engrossment of H.R. 1.","Rep. Scalise, Steve [R-LA-1]"
23,Family and Small Business Taxpayer Protection Act,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 1.,"Rep. Smith, Adrian [R-NE-3]"
82,Social Security Fairness Act of 2023,Became Public Law No: 118-273.,"Rep. Graves, Garret [R-LA-6]"
139,SHOW UP Act of 2023,Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,"Rep. Comer, James [R-KY-1]"
670,Think Differently Database Act,Became Public Law No: 118-225.,"Rep. Molinaro, Marcus J. [R-NY-19]"
2474,Strengthening Medicare for Patients and Providers Act,Referred to the Subcommittee on Health.,"Rep. Ruiz, Raul [D-CA-25]"
2701,Online Privacy Act of 2023,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on the Judiciary, House Administration, and Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.","Rep. Eshoo, Anna G. [D-CA-16]"
3086,Find It Early Act,Referred to the Subcommittee on Health.,"Rep. DeLauro, Rosa L. [D-CT-3]"
5009,Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025,Became Public Law No: 118-159.,"Rep. Joyce, David P. [R-OH-14]"
8070,Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025,Received in the Senate.,"Rep. Rogers, Mike D. [R-AL-3]"
8281,SAVE Act,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 439.,"Rep. Roy, Chip [R-TX-21]"
8998,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2025",Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 509.,"Rep. Simpson, Michael K. [R-ID-2]"
9495,Stop Terror-Financing and Tax Penalties on American Hostages Act,Received in the Senate.,"Rep. Tenney, Claudia [R-NY-24]"
10065,"To designate the facility of the United States Postal Service located at 802 North Tancahua Street in Corpus Christi, Texas, as the ""Captain Robert E. 'Bob' Batterson Post Office"".",Became Public Law No: 118-270.,"Rep. Cloud, Michael [R-TX-27]"
10515,"American Relief Act, 2025","On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 174 - 235, 1 Present (Roll no. 516).","Rep. Cole, Tom [R-OK-4]"
10545,"American Relief Act, 2025",Became Public Law No: 118-158.,"Rep. Cole, Tom [R-OK-4]"
